#id, Name,Remark
#WARNING: any change in id must be updated on db
ARG,Argentina
AUS,Úc
AUT,Áo
BHR,Bahrain
BEL,Bỉ
BTN,Bhutan
BRA,Brazil
BRN,Brunei
KHM,Campuchia
CAN,Canada
CHN,Trung Quốc
COL,Colombia
HRV,Croatia
CUB,Cuba
CZE,Czechia
DNK,Đan Mạch
EGY,Ai Cập
FRA,Pháp
DEU,Đức
GRC,Hy Lạp
GRD,Grenada
GTM,Guatemala
HUN,Hungary
ISL,Iceland
IND,Ấn Độ
IDN,Indonesia
IRL,Ireland
ISR,Israel
ITA,Ý
JPN,Nhật Bản
LAO,Lào
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MYS,Malaysia
MEX,Mexico
MCO,Monaco
MNE,Montenegro
MAR,Ma rốc
MMR,Myanmar
NPL,Nepal
NLD,Hà lan
NZL,New Zealand
NOR,Na Uy
PRY,Paraguay
PER,Peru
PHL,Philippines
POL,Ba Lan
PRT,Bồ Đào Nha
QAT,Qatar
ROU,Romania
RUS,Nga
SMR,San Marino
SAU,Saudi Arabia
SGP,Singapore
SVK,Slovakia
SVN,Slovenia
ZAF,Nam Phi
KOR,Hàn Quốc
ESP,Tây Ban Nha
SWE,Thủy Điển
CHE,Thủy Sỹ
THA,Thái Lan
TLS,Đông Timor
TUR,Thổ Nhĩ Kỳ
UKR,Ukraine
ARE,Các Tiều Vương Quốc Ả Rập Thống Nhất
GBR,Anh
USA,Hoa Kỳ (Mỹ)
URY,Uruguay
UZB,Uzbekistan
VEN,Venezuela
VNM,Việt Nam
